Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
torcache.net,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
correios.com.br,0,0,1,4,0,0,0,0,0,1,1,0,0,1,0,1
,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,8,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1
techcrunch.com,0,0,1,4,0,0,0,0,0,1,1,0,0,1,0,1
,0,0,0,6,0,0,0,0,0,1,1,1,1,1,1,1
,0,0,0,3,0,0,1,0,0,1,1,1,1,1,1,1
jezebel.com,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
